,B1901001,B1901002,B1901003,B1901004,B1901005,B1901006,B1901007,B1901008,B1901009,B1901010,B1901011,B1901012,B1901013,B1901014,B1901015,B1901016,B1901017,B1901H01,B1901H02,B1901H03,B1901H04,B1901H05,B1901H06,B1901H07,B1901H08,B1901H09,B1901H10,B1901H11,B1901H12,B1901H13,B1901H14,B1901H15,B1901H16,B1901H17,B1901B01,B1901B02,B1901B03,B1901B04,B1901B05,B1901B06,B1901B07,B1901B08,B1901B09,B1901B10,B1901B11,B1901B12,B1901B13,B1901B14,B1901B15,B1901B16,B1901B17,B1901I01,B1901I02,B1901I03,B1901I04,B1901I05,B1901I06,B1901I07,B1901I08,B1901I09,B1901I10,B1901I11,B1901I12,B1901I13,B1901I14,B1901I15,B1901I16,B1901I17,B1901D01,B1901D02,B1901D03,B1901D04,B1901D05,B1901D06,B1901D07,B1901D08,B1901D09,B1901D10,B1901D11,B1901D12,B1901D13,B1901D14,B1901D15,B1901D16,B1901D17,B1913001,B1913H01,B1913B01,B1913I01,B1913D01,B1901021,B1901022,B1901023,B1901024,B1901H21,B1901H22,B1901H23,B1901H24,B1901B21,B1901B22,B1901B23,B1901B24,B1901I21,B1901I22,B1901I23,B1901I24,B1901D21,B1901D22,B1901D23,B1901D24,ARSON,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,total,test_count,test_price,train_count,train_price,Food,Residence,Travel,Arts & Entertainment,Outdoors & Recreation,College & Education,Nightlife,Professional,Shops,Event
17031051200,758,61,7,0,0,33,37,44,8,32,25,87,82,81,72,82,107,634,22,7,0,0,24,37,44,8,32,16,63,74,81,72,47,107,17,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,58,39,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,40,0,0,0,0,0,0,0,0,0,0,24,0,0,0,16,0,87813,93438,0,0,0,68,154,194,342,29,145,153,307,0,0,17,0,39,0,0,19,0,0,24,16,0,4,6,10,1,12,1,2,0,0,0,0,0,0,5,1,0,0,0,4,0,0,0,2,0,0,31,1,80,24,8301,16,5566,1.0,4.0,13.0,0.0,1.0,1.0,5.0,18.0,13.0,0.0
17031843700,904,86,52,86,20,0,13,12,58,13,25,102,139,134,68,51,45,629,76,22,35,7,0,13,12,13,13,17,68,110,99,68,51,25,57,0,11,0,0,0,0,0,11,0,0,0,0,35,0,0,0,148,10,9,51,13,0,0,0,34,0,8,5,8,0,0,0,10,36,0,0,0,0,0,0,0,0,0,0,15,21,0,0,0,0,73986,79044,0,23269,0,244,96,266,298,140,51,195,243,11,11,0,35,83,34,21,10,0,0,36,0,0,19,42,10,1,37,7,21,0,0,1,2,0,0,5,22,0,2,0,27,0,0,5,5,1,0,168,3,378,30,9979,58,18287,30.0,8.0,31.0,12.0,25.0,16.0,18.0,52.0,57.0,0.0
17031051300,1153,0,38,17,0,0,35,20,85,29,35,77,108,99,102,201,307,1047,0,30,17,0,0,21,20,54,29,27,77,98,74,92,201,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,31,0,0,0,10,10,0,0,0,41,0,8,0,0,0,0,0,0,0,8,0,0,15,10,0,0,130885,139306,0,0,0,55,169,220,709,47,124,202,674,0,0,0,0,0,31,10,10,8,0,8,25,0,5,9,26,0,20,2,10,0,0,0,0,0,0,7,3,0,0,0,5,0,0,3,2,0,0,42,0,134,54,20608,59,21293,3.0,4.0,10.0,7.0,8.0,1.0,12.0,10.0,7.0,0.0
17031050600,899,71,0,44,8,49,41,20,19,80,26,62,101,171,39,124,44,773,71,0,18,8,9,41,20,10,80,26,52,101,140,39,114,44,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,45,0,0,26,0,0,0,0,9,0,0,10,0,0,0,0,0,39,0,0,0,0,29,0,0,0,0,0,0,0,0,0,10,0,80060,85417,0,0,0,123,209,189,378,97,160,179,337,0,11,0,0,26,9,10,0,0,29,0,10,0,3,5,23,0,17,2,10,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,3,0,0,71,0,150,28,10447,32,9489,28.0,12.0,24.0,15.0,13.0,7.0,18.0,37.0,54.0,0.0
17031050300,1095,0,54,0,20,29,0,31,54,50,121,124,140,117,108,191,56,927,0,9,0,9,29,0,31,54,41,89,110,113,117,87,182,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,45,0,6,0,0,0,0,0,0,8,11,0,21,0,0,18,0,0,0,0,0,0,0,0,9,0,6,3,0,0,0,0,88565,93194,0,0,0,74,164,385,472,18,155,312,442,0,0,0,0,51,0,19,21,0,9,9,0,0,4,9,14,0,37,2,8,0,0,0,0,0,1,9,15,0,0,0,11,0,0,0,3,0,0,19,1,133,36,15057,43,14062,12.0,0.0,4.0,2.0,3.0,1.0,5.0,19.0,13.0,0.0
17031050700,721,11,12,9,9,8,26,11,7,11,41,128,119,57,80,129,63,632,11,12,0,9,8,26,0,7,11,41,111,111,31,72,119,63,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,56,0,0,0,0,0,0,11,0,0,0,17,8,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84042,83417,0,0,0,41,63,288,329,32,52,263,285,0,0,0,16,0,11,25,20,0,0,0,0,0,0,1,5,0,9,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,2,0,0,24,1,48,20,6479,8,2783,7.0,3.0,6.0,3.0,4.0,0.0,6.0,6.0,5.0,0.0
17031051000,652,14,0,16,20,0,27,20,16,37,38,59,136,130,24,41,74,490,0,0,8,10,0,27,20,16,19,38,59,98,79,24,18,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,14,0,0,10,0,0,0,0,18,0,0,30,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,8,51,0,23,0,86333,86167,0,0,0,50,100,233,269,18,82,195,195,0,0,0,0,24,18,30,0,0,0,8,74,0,2,12,6,0,11,0,4,0,0,0,0,0,0,8,3,0,0,0,3,0,0,0,2,0,0,28,0,79,22,6506,21,6660,8.0,4.0,6.0,2.0,8.0,1.0,10.0,13.0,28.0,0.0
17031050800,573,5,59,23,8,0,0,17,0,6,57,48,59,76,17,66,132,475,5,28,23,8,0,0,17,0,6,57,35,59,76,17,51,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,31,0,0,0,0,0,0,0,0,7,0,0,0,15,39,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,101607,92250,0,0,0,95,23,164,291,64,23,151,237,0,0,0,0,31,0,7,54,0,0,6,0,0,4,2,10,0,13,0,4,0,0,0,1,0,0,4,1,0,0,0,1,0,0,1,0,0,0,29,0,70,21,8032,20,8261,12.0,2.0,5.0,3.0,2.0,3.0,3.0,10.0,19.0,0.0
17031051400,1011,61,38,52,8,0,49,0,47,63,53,137,105,75,79,67,177,653,0,19,33,0,0,26,0,23,39,27,107,62,63,70,39,145,175,61,11,19,8,0,14,0,15,0,0,0,35,12,0,0,0,129,0,8,0,0,0,9,0,9,24,12,30,8,0,9,20,0,54,0,0,0,0,0,0,0,0,0,14,0,0,0,0,8,32,74811,97841,17039,63281,0,159,159,295,398,52,88,196,317,99,29,35,12,8,42,50,29,0,0,14,40,1,14,27,10,0,29,21,5,0,0,0,0,1,0,0,11,0,1,0,5,0,0,7,8,0,0,40,5,185,33,9897,52,15484,4.0,3.0,12.0,7.0,21.0,3.0,9.0,16.0,19.0,0.0
17031050900,680,40,0,13,35,0,50,23,38,7,48,37,117,72,23,67,110,604,26,0,13,13,0,39,23,38,7,48,26,104,72,23,62,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,0,46,0,0,0,22,0,0,0,0,0,0,11,13,0,0,0,0,82000,86667,0,0,0,88,118,202,272,52,107,178,267,0,0,0,0,0,11,0,5,22,0,24,0,0,1,9,5,0,14,1,6,0,0,0,0,0,0,7,2,0,0,0,1,0,0,1,0,0,0,28,0,75,11,3873,25,8975,10.0,6.0,8.0,2.0,2.0,2.0,5.0,9.0,30.0,0.0
17031050100,1143,32,9,77,85,42,75,46,27,58,63,81,202,111,43,73,119,970,15,9,52,16,42,75,46,18,34,63,81,191,102,43,73,110,39,0,0,0,30,0,0,0,9,0,0,0,0,0,0,0,0,23,0,0,15,0,0,0,0,0,8,0,0,0,0,0,0,0,100,17,0,10,28,0,0,0,0,16,0,0,11,9,0,0,9,70772,79667,0,0,23958,203,248,346,346,92,215,335,328,30,9,0,0,15,8,0,0,55,16,11,18,0,1,14,6,2,20,2,6,0,0,0,0,0,0,5,4,0,1,0,5,0,0,0,4,0,0,55,0,125,17,5047,21,6279,17.0,8.0,18.0,15.0,13.0,9.0,19.0,55.0,38.0,0.0
17031050200,2214,159,64,91,122,248,64,29,71,84,88,269,240,119,76,171,319,1648,89,49,50,72,108,51,29,71,63,88,191,183,106,76,162,260,61,35,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,333,23,15,41,0,83,13,0,0,21,0,51,30,0,0,9,47,170,12,0,0,37,57,0,0,0,0,0,27,12,13,0,0,12,62821,67462,0,33365,26579,436,496,597,685,260,322,462,604,48,13,0,0,79,117,81,56,49,57,39,25,2,9,24,34,0,47,3,14,0,0,1,0,0,0,20,8,0,1,0,20,0,0,0,12,2,0,107,2,306,84,28373,70,23393,41.0,13.0,16.0,15.0,10.0,4.0,28.0,60.0,76.0,0.0
17031050500,2194,38,34,19,117,11,90,33,91,137,129,209,373,243,127,237,306,1962,38,34,19,55,11,77,33,46,124,129,209,339,243,104,237,264,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,164,0,0,0,39,0,13,0,35,13,0,0,34,0,0,0,30,33,0,0,0,0,0,0,0,10,0,0,0,0,0,23,0,0,85189,85991,0,44643,0,208,362,711,913,146,291,677,848,0,0,0,12,39,61,34,30,0,10,0,23,4,1,20,34,0,35,5,13,0,0,0,0,0,0,14,8,0,0,0,9,0,0,2,5,2,0,51,0,203,54,20747,50,18278,8.0,5.0,25.0,9.0,3.0,2.0,13.0,26.0,24.0,0.0
17031051100,728,9,29,44,0,25,15,26,18,45,24,114,77,16,52,51,183,554,9,0,44,0,0,7,26,18,30,13,54,71,8,43,48,183,37,0,0,0,0,0,0,0,0,0,11,26,0,0,0,0,0,78,0,0,0,0,25,8,0,0,0,0,34,0,8,0,3,0,30,0,0,0,0,0,0,0,0,15,0,0,6,0,9,0,0,77770,106563,0,0,0,82,129,215,302,53,81,138,282,0,0,37,0,0,33,34,11,0,15,6,9,0,2,7,8,0,8,2,5,0,0,0,0,1,0,4,2,0,0,0,4,1,0,0,2,0,0,38,0,84,35,11416,30,9989,22.0,5.0,8.0,6.0,7.0,1.0,8.0,15.0,41.0,0.0
